epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,1101.92,0.33741,0.69167,0.90833,1.41386,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,1134.71,0.30378,0.696,0.91333,1.40413,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,1165.62,0.31778,0.69367,0.91,1.40454,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,1195.2,0.30065,0.696,0.91,1.40149,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,1225.76,0.29211,0.69733,0.911,1.40609,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,1255.86,0.28261,0.69733,0.91433,1.38051,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,1285.53,0.28134,0.698,0.91333,1.39573,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,1315.52,0.25984,0.69767,0.914,1.38403,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,1344.82,0.25093,0.69733,0.915,1.39522,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,1374.34,0.25004,0.69767,0.91467,1.37937,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,1403.64,0.23366,0.70067,0.914,1.38298,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,1433.65,0.2198,0.701,0.91533,1.38774,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,1463.7,0.22572,0.70233,0.91533,1.38285,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,1494.42,0.21607,0.70267,0.91367,1.38165,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,1524.05,0.20542,0.70533,0.915,1.37834,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,1555.39,0.20463,0.70333,0.91333,1.39608,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,1585.28,0.19773,0.704,0.91467,1.37579,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,1615.2,0.18054,0.70167,0.91533,1.39038,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,1644.88,0.17819,0.701,0.91533,1.37408,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,1677.14,0.16321,0.703,0.916,1.40511,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,1709.32,0.16169,0.70467,0.91533,1.37838,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,1741.89,0.15628,0.704,0.91533,1.40708,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,1773.42,0.15719,0.704,0.91667,1.39219,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,1805.87,0.15065,0.70433,0.91633,1.39716,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,1838.78,0.15003,0.70467,0.91567,1.38497,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,1871.44,0.13918,0.70433,0.91567,1.38045,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,1907.8,0.13259,0.70567,0.915,1.37754,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,1943.08,0.11888,0.705,0.91533,1.3844,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,1979.36,0.12223,0.70333,0.916,1.37927,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,2015.38,0.11091,0.70267,0.915,1.38908,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,2047.75,0.11154,0.703,0.915,1.36428,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,2080.12,0.10949,0.70267,0.915,1.39187,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,2119.67,0.10114,0.704,0.91567,1.37459,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,2152.72,0.09897,0.70267,0.916,1.38833,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,2187.47,0.09269,0.70333,0.91633,1.37156,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,2220.48,0.08798,0.70067,0.917,1.3715,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,2250.96,0.08275,0.70133,0.917,1.37789,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,2282.89,0.08411,0.70133,0.91633,1.36865,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,2347.92,0.07488,0.70067,0.91633,1.40133,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,2387.92,0.07505,0.70133,0.91567,1.37764,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,2426.45,0.06836,0.70133,0.915,1.37626,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,2464.1,0.06175,0.70167,0.91467,1.38949,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,2499,0.06453,0.7,0.915,1.3844,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,2535.92,0.05916,0.70167,0.91567,1.38289,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,2572.33,0.06016,0.702,0.915,1.38025,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,2608.69,0.05219,0.70167,0.91467,1.36434,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,2645.65,0.05204,0.7,0.91433,1.39553,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,2680.39,0.0485,0.702,0.91433,1.3693,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
